篩選,代號,公司名稱,平均EPS(110~114),EPS(114),毛利率%,營業利益率%,負債比%,ROE%
✅,2360,致茂,14.348000000000003,27.7,61.5,32.5,30.9,37.4
✅,2059,川湖,52.102,103.23,76.0,69.1,20.1,35.1
✅,2330,台積電,41.212,66.26,59.9,50.8,31.2,31.7
✅,1477,聚陽,14.712,14.65,24.9,13.6,40.7,26.1
✅,6515,穎崴,28.288,46.93,45.3,26.3,28.7,26.0
✅,3030,德律,7.132,10.49,58.4,35.3,21.0,25.8
✅,2308,台達電,14.492,23.14,34.3,15.1,49.1,25.3
✅,2451,創見,6.924000000000001,12.98,46.8,38.3,12.2,24.2
✅,1232,大統益,7.888,8.25,13.4,7.9,38.6,23.4
✅,3653,健策,21.381999999999998,36.75,41.6,32.0,17.5,23.3
✅,8464,億豐,20.808,22.53,58.8,29.8,24.0,23.1
✅,6197,佳必琪,5.843999999999999,8.67,34.3,20.0,39.1,22.5
✅,2472,立隆電,6.998,8.73,32.0,20.3,24.2,22.1
✅,5234,達興材料,5.76,7.37,40.6,18.4,31.0,21.5
✅,1615,大山,3.63,4.81,22.7,18.6,29.1,21.4
✅,3005,神基,6.6659999999999995,8.43,31.8,15.7,41.6,20.9
✅,3533,嘉澤,59.122,70.17,51.3,30.6,19.9,20.7
✅,6183,關貿,3.286,3.9,43.4,24.7,38.2,20.7
✅,9911,櫻花,5.2780000000000005,6.27,35.3,15.3,37.4,19.9
✅,1476,儒鴻,21.338,20.1,28.6,18.7,15.4,18.6
✅,6206,飛捷,5.88,6.9,44.1,25.1,15.1,18.6
✅,1773,勝一,7.142,6.81,34.6,20.7,33.2,18.2
✅,2471,資通,3.2159999999999997,3.63,43.4,17.9,38.5,18.2
✅,2493,揚博,4.924,4.36,30.3,18.2,39.8,17.0
✅,3416,融程電,6.462000000000001,7.39,39.9,19.0,29.0,16.6
✅,4571,鈞興-KY,7.768000000000001,9.61,32.8,17.3,21.3,15.8
✅,9942,茂順,8.58,8.15,39.0,24.0,23.1,15.8
✅,4536,拓凱,16.682,14.92,35.3,18.7,29.5,15.6
✅,1730,花仙子,4.05,4.5,51.0,15.3,21.1,15.4
✅,2420,新巨,4.014,3.91,45.9,29.2,28.8,15.0
✅,5269,祥碩,48.11,72.7,52.2,29.5,11.4,15.0
✅,2504,國產,3.226,3.3,27.4,22.5,39.3,14.9
✅,2423,固緯,2.614,2.92,52.9,18.2,20.7,14.3
✅,6491,晶碩,21.407999999999998,20.87,52.3,25.7,27.4,14.2
✅,2433,互盛電,3.4799999999999995,3.05,36.0,15.2,44.0,13.7
